Unnamed: 0,Year,Movie,Video_ID,Views,Likes,Comments,IMDb_Rating,numVotes,key,Gross,clean_title
188,2023.0,Sun and Concrete,YseO5USMSLA,26355.0,123.0,4.0,7.4,5375.0,sun and concrete,10119958.0,sun and concrete
189,2023.0,The Peasants,O8nME5pUHPo,354453.0,4915.0,448.0,7.6,8010.0,the peasants,10006057.0,the peasants
190,2023.0,The Great Escaper,JEvYEPNxHzo,1378474.0,2148.0,221.0,7.0,8291.0,the great escaper,9818521.0,the great escaper
191,2023.0,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),Y1zTjX85vD0,584.0,24.0,0.0,,,the lord of the rings the return of the king 2023 rerelease 20th anniversary,9736432.0,the lord of the rings the return of the king 2023 rerelease 20th anniversary
192,2023.0,Talk to Her Undated France Release,5fb2puij0Ik,264922585.0,1469444.0,6688.0,,,talk to her undated france release,9550733.0,talk to her undated france release
193,2023.0,Rafadan Tayfa 4: Hayrimatör,A9JZQU8guTM,4733761.0,7983.0,1.0,,,rafadan tayfa 4 hayrimatör,9546067.0,rafadan tayfa 4 hayrimatör
194,2023.0,The Braid,8AsbS9KGk4I,64154.0,167.0,27.0,7.2,1843.0,the braid,9408857.0,the braid
195,2023.0,Kandahar,WHs6z9RPGtA,11728347.0,27134.0,1331.0,6.1,40860.0,kandahar,9387311.0,kandahar
196,2023.0,House Party,VO_xuS4FDHs,808487.0,12636.0,1336.0,4.4,4670.0,house party,9285747.0,house party
197,2023.0,All Your Faces,h3XKroA-sTw,47646.0,119.0,7.0,7.5,4298.0,all your faces,9056053.0,all your faces
198,2023.0,The Animal Kingdom,qGvUkiUM7Nc,293679.0,444.0,30.0,6.7,10501.0,the animal kingdom,8938787.0,the animal kingdom
199,2023.0,The Wandering Earth II,Yf3VreXwVpI,1564457.0,9275.0,1134.0,6.7,15345.0,the wandering earth ii,8854786.0,the wandering earth ii
200,2023.0,Cats in the Museum,YyUIBk_YA2o,17910.0,53.0,10.0,4.7,599.0,cats in the museum,8772739.0,cats in the museum
201,2023.0,Father & Soldier,PbpCntDgq8I,59795.0,640.0,38.0,,,father  soldier,8598322.0,father  soldier
202,2023.0,PreCure All Stars F,p1Mwt0G80WE,65151.0,774.0,134.0,,,precure all stars f,8519569.0,precure all stars f
203,2023.0,Dream,bIjRJjpeg-c,1198953.0,23394.0,373.0,6.5,3771.0,dream,8317251.0,dream
